Ámbito,Área,Indicador,Sex,Año,Fuente,Unidad,Valor
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2015","Labour force survey","1000 personas","294.937"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2016","Labour force survey","1000 personas","289.233"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2017","Labour force survey","1000 personas","279.673"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2018","Labour force survey","1000 personas","277.39"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2019","Labour force survey","1000 personas","287.833"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2020","Labour force survey","1000 personas","281.07"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2015","Labour force survey","1000 personas","45.683"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2016","Labour force survey","1000 personas","42.846"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2017","Labour force survey","1000 personas","39.127"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2018","Labour force survey","1000 personas","37.633"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2019","Labour force survey","1000 personas","36.986"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2020","Labour force survey","1000 personas","37.266"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2015","Labour force survey","1000 personas","140.774"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2016","Labour force survey","1000 personas","133.798"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2017","Labour force survey","1000 personas","134.22"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2018","Labour force survey","1000 personas","129.605"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2019","Labour force survey","1000 personas","143.26"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2020","Labour force survey","1000 personas","134.291"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2015","Labour force survey","1000 personas","66.761"
"Indicadores de empleo: Agricultura","Canadá","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2016","Labour force survey","1000 personas","68.632"
