Ámbito,Área,Indicador,Sex,Año,Fuente,Unidad,Valor
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2015","Labour force survey","1000 personas","24.824"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2016","Labour force survey","1000 personas","26.735"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2017","Labour force survey","1000 personas","25.773"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2019","Labour force survey","1000 personas","27.871"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2015","Labour force survey","1000 personas","22.512"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2016","Labour force survey","1000 personas","24.283"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2017","Labour force survey","1000 personas","22.897"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2019","Labour force survey","1000 personas","23.29"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2015","Labour force survey","1000 personas","2.312"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2016","Labour force survey","1000 personas","2.452"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2017","Labour force survey","1000 personas","2.876"
"Indicadores de empleo: Agricultura","Belice","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2019","Labour force survey","1000 personas","4.581"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2015","Labour force survey","1000 personas","252.801"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2016","Labour force survey","1000 personas","243.197"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2017","Labour force survey","1000 personas","256.343"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2018","Labour force survey","1000 personas","260.792"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2019","Labour force survey","1000 personas","259.38"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2020","Labour force survey","1000 personas","247.262"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2015","Labour force survey","1000 personas","40.404"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2016","Labour force survey","1000 personas","37.565"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2017","Labour force survey","1000 personas","35.72"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2018","Labour force survey","1000 personas","36.116"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2019","Labour force survey","1000 personas","35.742"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2020","Labour force survey","1000 personas","32.722"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2015","Labour force survey","1000 personas","156.127"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2016","Labour force survey","1000 personas","156.256"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2017","Labour force survey","1000 personas","159.903"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2018","Labour force survey","1000 personas","165.099"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2019","Labour force survey","1000 personas","159.92"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2020","Labour force survey","1000 personas","150.008"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2015","Labour force survey","1000 personas","32.551"
"Indicadores de empleo: Agricultura","Costa Rica","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2016","Labour force survey","1000 personas","32.65"
