"Ámbito","Área","Indicador","Sex","Año","Fuente","Unidad","Valor"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2017","Labour force survey","1000 personas","6.84"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2018","Labour force survey","1000 personas","11.15"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2019","Labour force survey","1000 personas","6.97"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2020","Labour force survey","1000 personas","3.57"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2017","Labour force survey","1000 personas","0.23"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2018","Labour force survey","1000 personas","1.18"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2020","Labour force survey","1000 personas","0.7"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2017","Labour force survey","1000 personas","4.69"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2018","Labour force survey","1000 personas","7.25"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2019","Labour force survey","1000 personas","4.74"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2020","Labour force survey","1000 personas","1.19"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2017","Labour force survey","1000 personas","0.83"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2018","Labour force survey","1000 personas","1.49"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2019","Labour force survey","1000 personas","1.08"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2020","Labour force survey","1000 personas","1.56"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 65+","Total","2017","Labour force survey","1000 personas","1.08"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 65+","Total","2018","Labour force survey","1000 personas","1.24"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2017","Labour force survey","1000 personas","6.07"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2018","Labour force survey","1000 personas","8.14"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2019","Labour force survey","1000 personas","5.32"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2020","Labour force survey","1000 personas","3.02"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2020","Labour force survey","1000 personas","0.7"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2017","Labour force survey","1000 personas","4.13"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2018","Labour force survey","1000 personas","4.89"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2019","Labour force survey","1000 personas","3.8"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2020","Labour force survey","1000 personas","1.09"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2017","Labour force survey","1000 personas","0.8"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2018","Labour force survey","1000 personas","1.37"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2019","Labour force survey","1000 personas","0.51"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 65+","Male","2017","Labour force survey","1000 personas","1.06"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 65+","Male","2018","Labour force survey","1000 personas","0.76"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2017","Labour force survey","1000 personas","0.77"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2018","Labour force survey","1000 personas","3.01"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2019","Labour force survey","1000 personas","1.65"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2020","Labour force survey","1000 personas","0.56"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2017","Labour force survey","1000 personas","0.57"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2018","Labour force survey","1000 personas","2.35"
"Indicadores de empleo: Agricultura","Arg","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2019","Labour force survey","1000 personas","0.94"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2015","Household income and expenditure survey","1000 personas","1362.34"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2019","Household income and expenditure survey","1000 personas","1543.05"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2020","Household income and expenditure survey","1000 personas","1628.57"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2015","Household income and expenditure survey","1000 personas","246.55"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2019","Household income and expenditure survey","1000 personas","297.07"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2020","Household income and expenditure survey","1000 personas","291.49"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2015","Household income and expenditure survey","1000 personas","639.12"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2019","Household income and expenditure survey","1000 personas","714.6"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2020","Household income and expenditure survey","1000 personas","738.21"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2015","Household income and expenditure survey","1000 personas","247.83"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2019","Household income and expenditure survey","1000 personas","269.65"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2020","Household income and expenditure survey","1000 personas","278.64"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Total","2015","Household income and expenditure survey","1000 personas","228.84"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Total","2019","Household income and expenditure survey","1000 personas","261.74"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 65+","Total","2020","Household income and expenditure survey","1000 personas","320.22"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2015","Household income and expenditure survey","1000 personas","785.15"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2019","Household income and expenditure survey","1000 personas","828.86"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2020","Household income and expenditure survey","1000 personas","934.76"
"Indicadores de empleo: Agricultura","Bol","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2015","Household income and expenditure survey","1000 personas","143.44"
