"Ámbito","Área","Indicador","Sex","Año","Fuente","Unidad","Valor"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2017","Household income and expenditure survey","1000 personas","2740.235"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2017","Household income and expenditure survey","1000 personas","806.494"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2017","Household income and expenditure survey","1000 personas","1651.678"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2017","Household income and expenditure survey","1000 personas","204.994"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 65+","Total","2017","Household income and expenditure survey","1000 personas","77.069"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2017","Household income and expenditure survey","1000 personas","1836.677"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 15 to 24","Male","2017","Household income and expenditure survey","1000 personas","574.187"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 25 to 54","Male","2017","Household income and expenditure survey","1000 personas","1031.958"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 55 to 64","Male","2017","Household income and expenditure survey","1000 personas","160.194"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 65+","Male","2017","Household income and expenditure survey","1000 personas","70.338"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, total (15+)","Female","2017","Household income and expenditure survey","1000 personas","903.558"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 15 to 24","Female","2017","Household income and expenditure survey","1000 personas","232.307"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 25 to 54","Female","2017","Household income and expenditure survey","1000 personas","619.72"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 55 to 64","Female","2017","Household income and expenditure survey","1000 personas","44.8"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 65+","Female","2017","Household income and expenditure survey","1000 personas","6.731"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, total (15+)","Total","2020","Labour force survey","1000 personas","2714.301"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 15 to 24","Total","2020","Labour force survey","1000 personas","841.186"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 25 to 54","Total","2020","Labour force survey","1000 personas","1607.282"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 55 to 64","Total","2020","Labour force survey","1000 personas","187.638"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, 65+","Total","2020","Labour force survey","1000 personas","78.195"
"Indicadores de empleo: Agricultura","Afganistán","Employment in agriculture, forestry and fishing by age, total (15+)","Male","2020","Labour force survey","1000 personas","2115.837"
